RANDOM FOREST
2 - 0.401198611278
3 - 0.388692510614
4 - 0.430668893014
5 - 0.439425118113
6 - 0.438109162969
7 - 0.440186412158
8 - 0.453081115088
9 - 0.466672668072
10 - 0.476756402539
11 - 0.494815023909
12 - 0.49957854727
13 - 0.504425382034
14 - 0.505106881507
15 - 0.506796193628
16 - 0.506916428453
17 - 0.507627577343
18 - 0.507660002559
19 - 0.507327726557
20 - 0.507767535389
21 - 0.508573575237
22 - 0.510000463968
23 - 0.510858534289
24 - 0.511651462752
25 - 0.511301657054
26 - 0.509715963239
27 - 0.511057475801
28 - 0.514348899346
29 - 0.514186710191
30 - 0.513995262774
31 - 0.514286904957
32 - 0.515856836867
33 - 0.515515995578
34 - 0.515789287005
35 - 0.514012944269
36 - 0.515295505715
37 - 0.513099057558
38 - 0.517671954541
39 - 0.519025536174
40 - 0.515518484455
41 - 0.516946565626
42 - 0.517719653062
43 - 0.517534992739
44 - 0.518760165587
45 - 0.519588124425
46 - 0.518288418837
47 - 0.516854953819
48 - 0.514946621295
49 - 0.519347556117
50 - 0.518136179194
51 - 0.517125545805
52 - 0.519135834099
53 - 0.519764446711
54 - 0.520353245761
55 - 0.516969435516
56 - 0.522010063367
57 - 0.523265923598
58 - 0.521804565522
59 - 0.523120478262
60 - 0.519753973456
61 - 0.522439558702
62 - 0.522281198758
63 - 0.521234988062
64 - 0.522990871137
65 - 0.520368843495
66 - 0.521758819176
67 - 0.52157108792
68 - 0.521227842584
69 - 0.521245514894
70 - 0.524175724739
71 - 0.521703562309
72 - 0.528393948736
73 - 0.526083120079
74 - 0.529365620668
75 - 0.529700602297
76 - 0.527200336377
77 - 0.530887824133
78 - 0.528529082083
79 - 0.52752946657
80 - 0.527505283431
81 - 0.528584370887
82 - 0.526760623455
83 - 0.52843156193
84 - 0.527934536696
85 - 0.526085096627
86 - 0.528079617243
87 - 0.527843792085
88 - 0.527060121031
89 - 0.528561335671
90 - 0.527282746007
91 - 0.528775568498
92 - 0.527634341776
93 - 0.530135794333
94 - 0.528147365031
95 - 0.52819654258
96 - 0.529056014696
97 - 0.529142545966
98 - 0.530661109718
99 - 0.52949401918
100 - 0.527520160659
101 - 0.530291275835
102 - 0.530520736291
103 - 0.527629460748
104 - 0.527517816853
105 - 0.528881720769
106 - 0.528829141036
107 - 0.529953572275
108 - 0.527624956125
109 - 0.529283968247
110 - 0.531710770203
111 - 0.532563720507
112 - 0.530517519512
113 - 0.527246032649
114 - 0.530744753045
115 - 0.531301798874
116 - 0.532969337754
117 - 0.532594855878
118 - 0.534426361124
119 - 0.529823945692
120 - 0.534717027185
121 - 0.532937581974
122 - 0.534176088708
123 - 0.531478097219
124 - 0.533207852051
125 - 0.534077321591
126 - 0.536721977284
127 - 0.53658069173
average fmeasure for both classes 0.53658069173 obtained with features [2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 28, 32, 38, 39, 45, 53, 54, 56, 57, 70, 72, 74, 75, 77, 110, 111, 116, 118, 120, 126]
