id_num,player_id,house,gender,age,weight,foul_type_id,game_move_id,penalty_id,game_duration,player_code,move_specialty,num_game_moves,num_game_losses,num_practice_sessions,num_games_satout,num_games_injured,num_games_notpartof,player_type,num_games_won,snitchnip,stooging,body_blow,checking,dopplebeater_defence,hawkshead_attacking_formation,no_hands_tackle,power_play,sloth_grip_roll,spiral_dive,starfish_and_stick,twirl,wronski_feint,zig-zag,bludger_backbeat,chelmondiston_charge,dionysus_dive,double_eight_loop,finbourgh_flick,reverse_pass,parkins_pincer,plumpton_pass,porskoff_ploy,transylvanian_tackle,woollongong_shimmy,change,snitch_caught,quidditch_league_player
1,8222157,0,0,11,3,6,25,1,1,3,specialty38,41,0,1,0,0,0,Beater1,1,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO
2,55629189,0,0,12,3,1,1,7,3,3,3,59,0,18,0,0,0,Multiple,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
3,86047875,1,0,13,3,1,1,7,2,3,3,11,5,13,2,0,1,Multiple,6,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
4,82442376,0,1,14,3,1,1,7,2,3,3,44,1,16,0,0,0,Multiple,7,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Up,0,0,0,0,0,Ch,1,NO
5,42519267,0,1,14.5,3,1,1,7,1,3,3,51,0,8,0,0,0,Captain,5,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
6,82637451,0,1,15,3,2,1,2,3,3,3,31,6,16,0,0,0,Chaser1,9,0ne,0ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,1,NO
7,84259809,0,1,15.5,3,3,1,2,4,3,3,70,1,21,0,0,0,Chaser1,7,0ne,0ne,Steady,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
8,114882984,0,1,16,3,1,1,7,5,3,3,73,0,12,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO
9,48330783,0,0,16.5,3,2,1,4,13,3,3,68,2,28,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,Steady,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
10,63555939,0,0,17,3,3,3,4,12,3,specialty19,33,3,18,0,0,0,Chaser1,8,0ne,0ne,0,0,0,0,0,0,0,0,0,0,Steady,0,0,0,0,0,0,Steady,0,0,0,0,0,Ch,1,NO
